2016-07-08 15:18:19,616 | DEBUG | [main] | class pro.server.Program:Init(115) ----> Loaded. 
2016-07-08 15:18:19,617 |  INFO | [main] | class pro.server.Program:loadSMSDataTable(236) ----> loadSMSDataTable:data.dat 
2016-07-08 15:18:19,617 |  INFO | [main] | class pro.server.Program:loadSMSDataTable(244) ----> data.dat is empty 
2016-07-08 15:18:19,618 |  INFO | [main] | class pro.server.Program:loadSMSDataTable(287) ----> Deleting.....: data.dat 
2016-07-08 15:18:19,619 |  INFO | [main] | class pro.server.Program:loadSMSDataTable(236) ----> loadSMSDataTable:receivelog.dat 
2016-07-08 15:18:19,619 |  INFO | [main] | class pro.server.Program:loadSMSDataTable(244) ----> receivelog.dat is empty 
2016-07-08 15:18:19,619 |  INFO | [main] | class pro.server.Program:loadSMSDataTable(287) ----> Deleting.....: receivelog.dat 
2016-07-08 15:18:19,619 | DEBUG | [main] | class pro.server.Program:Init(122) ----> Start: LoadMO 
2016-07-08 15:18:19,661 | DEBUG | [main] | class pro.server.Program:Init(137) ----> Start: ExecuteQueue 
2016-07-08 15:18:19,810 | DEBUG | [main] | class pro.server.Program:Init(145) ----> Start: ExecuteInsertReceiveLog 
2016-07-08 15:18:19,860 | DEBUG | [Thread-20] | class pro.check.CheckCharge:run(30) ----> ---------------BAT DAU CHECK CHARGING -------------------- 
2016-07-08 15:18:19,861 | DEBUG | [Thread-20] | class pro.check.CheckCharge:run(55) ----> CHECK CHARGING SE DELAY 60 PHUT. 
2016-07-08 15:18:19,861 | DEBUG | [Thread-20] | class pro.check.CheckCharge:run(56) ----> ---------------KET THUC CHECK CHARGING -------------------- 
2016-07-08 15:18:19,874 | DEBUG | [Thread-21] | class pro.check.CheckFinishDay:run(22) ----> ---------------BAT DAU CHECK FINISH DAY -------------------- 
2016-07-08 15:18:19,875 | DEBUG | [Thread-21] | class pro.check.CheckFinishDay:run(38) ----> CHECK FINISH DAY SE DELAY 60 PHUT. 
2016-07-08 15:18:19,877 | DEBUG | [Thread-21] | class pro.check.CheckFinishDay:run(39) ----> ---------------KET THUC CHECK FINISH DAY-------------------- 
2016-07-08 15:18:19,908 | DEBUG | [Thread-23] | class pro.check.CheckPushMT:run(27) ----> ---------------BAT DAU CHECK PUSH MT -------------------- 
2016-07-08 15:18:19,908 | DEBUG | [Thread-0] | class pro.server.Program:run(366) ----> Listen MO............................................................... 
2016-07-08 15:18:19,909 | DEBUG | [Thread-23] | class pro.check.CheckPushMT:run(90) ----> CHECK PUSHMT SE Delay 10 Phut. 
2016-07-08 15:18:19,910 | DEBUG | [Thread-23] | class pro.check.CheckPushMT:run(91) ----> ---------------KET THUC CHECK PUSH MT-------------------- 
2016-07-08 15:18:43,302 |  INFO | [Thread-22] | class pro.check.BeginSession:run(80) ----> Luu tin thanh cong cho push tin hang ngay luc 8h:class dat.content.NewsObject --> serialVersionUID:1|NewsID:0|NewsName:Push Tin hàng ngày: 2016-07-08 15:18:30:364|MT:Tang Quy khach 10 diem. Soan DD [tennguoinoitieng] gui 1566 de du doan thong tin ngay hom nay. De mua thong tin du doan, soan MUA gui 1566 (1000d/lan). So lan mua: 10lan/ngay. Chuc Quy khach may man. Ong sinh ngay 15 thang 02 nam 1564.|mStatus:New|mNewsType:Reminder|PushTime:Fri Jul 08 08:00:32 ICT 2016|CreateDate:Fri Jul 08 15:18:33 ICT 2016|QuestionID:0|Priority:0| 
